2018/08/16 17:10:16 [emerg] 19304#13156: CreateFile() "E:\中软国际\nginx-1.12.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2018/08/16 17:10:19 [emerg] 19608#14036: CreateFile() "E:\中软国际\nginx-1.12.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2018/08/16 17:10:20 [emerg] 9488#8696: CreateFile() "E:\中软国际\nginx-1.12.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2018/08/16 17:10:20 [emerg] 18404#15672: CreateFile() "E:\中软国际\nginx-1.12.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2018/08/16 17:14:51 [emerg] 16648#13244: CreateFile() "E:\中软国际\nginx-1.12.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2018/08/16 17:15:23 [emerg] 2032#15532: CreateFile() "E:\中软国际\nginx-1.12.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2018/08/16 17:17:44 [error] 19008#9540: *1 CreateFile() "E:\nginx-1.12.2/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8023", referrer: "http://localhost:8023/"
2018/08/16 17:36:58 [error] 9620#21848: *1 CreateFile() "E:\zrCode\cmiot\CMP\src/node_modules/bootstrap/dist/css/bootstrap.min.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /node_modules/bootstrap/dist/css/bootstrap.min.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/08/16 17:36:58 [error] 9620#21848: *1 CreateFile() "E:\zrCode\cmiot\CMP\src/node_modules/angular-ui-switch/angular-ui-switch.min.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /node_modules/angular-ui-switch/angular-ui-switch.min.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/08/16 17:36:58 [error] 9620#21848: *1 CreateFile() "E:\zrCode\cmiot\CMP\src/node_modules/ztree/css/zTreeStyle/zTreeStyle.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /node_modules/ztree/css/zTreeStyle/zTreeStyle.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/08/16 17:36:58 [error] 9620#21848: *1 CreateFile() "E:\zrCode\cmiot\CMP\src/node_modules/jquery/dist/jquery.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /node_modules/jquery/dist/jquery.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/08/16 17:36:58 [error] 9620#21848: *1 CreateFile() "E:\zrCode\cmiot\CMP\src/node_modules/bootstrap/dist/js/bootstrap.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/08/16 17:36:58 [error] 9620#21848: *1 CreateFile() "E:\zrCode\cmiot\CMP\src/node_modules/angular/angular.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /node_modules/angular/angular.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/08/16 17:36:58 [error] 9620#21848: *1 CreateFile() "E:\zrCode\cmiot\CMP\src/node_modules/angular-translate/dist/angular-translate.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /node_modules/angular-translate/dist/angular-translate.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/08/16 17:36:58 [error] 9620#21848: *1 CreateFile() "E:\zrCode\cmiot\CMP\src/node_modules/angular-ui-router/release/angular-ui-router.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /node_modules/angular-ui-router/release/angular-ui-router.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/08/16 17:36:58 [error] 9620#21848: *1 CreateFile() "E:\zrCode\cmiot\CMP\src/node_modules/angular-translate-loader-static-files/angular-translate-loader-static-files.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /node_modules/angular-translate-loader-static-files/angular-translate-loader-static-files.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/08/16 17:36:58 [error] 9620#21848: *1 CreateFile() "E:\zrCode\cmiot\CMP\src/node_modules/angular-file-upload/dist/angular-file-upload.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /node_modules/angular-file-upload/dist/angular-file-upload.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
